bibItem,creatorstatement,listpos,givenName,lastName,fullName,fullName_clusters,fullName_recon_Wikidata,fullName_recon_Wikibase
https://monumenta.wikibase.cloud/entity/Q296,https://monumenta.wikibase.cloud/entity/statement/Q296-43BB827F-6995-4332-A6D4-A9554169B377,1,Willem J. van,Eys,Willem J. van Eys,Willem J. van Eys,Willem J. van Eys,Willem J. van Eys
https://monumenta.wikibase.cloud/entity/Q291,https://monumenta.wikibase.cloud/entity/statement/Q291-721C432E-8A32-4365-A645-64C4BAD88A28,1,Louise-Marie-Hyacinthe,Fabre,Louise-Marie-Hyacinthe Fabre,Louise-Marie-Hyacinthe Fabre,Louise-Marie-Hyacinthe Fabre,Louise-Marie-Hyacinthe Fabre
https://monumenta.wikibase.cloud/entity/Q394,https://monumenta.wikibase.cloud/entity/statement/Q394-BE652980-1587-418E-B318-D70398DABC76,1,A. S.,Farwell,A. S. Farwell,A. S. Farwell,A. S. Farwell,A. S. Farwell
https://monumenta.wikibase.cloud/entity/Q391,https://monumenta.wikibase.cloud/entity/statement/Q391-7F03A7A2-B270-4E00-AE26-2B50E4DDF935,2,David,Farwell,David Farwell,David Farwell,David Farwell,David Farwell
https://monumenta.wikibase.cloud/entity/Q354,https://monumenta.wikibase.cloud/entity/statement/Q354-07A18987-CE37-4A16-A393-F99E79B1A3CF,2,Pierre,Fenaille,Pierre Fenaille,Pierre Fenaille,Pierre Fenaille,Pierre Fenaille
https://monumenta.wikibase.cloud/entity/Q416,https://monumenta.wikibase.cloud/entity/statement/Q416-0D69DBC1-04D2-4591-BCEB-6452DE83F98B,1,Nerea,Fernández de Gobeo Díaz de Durana,Nerea Fernández de Gobeo Díaz de Durana,Nerea Fernández de Gobeo Díaz de Durana,Nerea Fernández de Gobeo Díaz de Durana,Nerea Fernández de Gobeo Díaz de Durana
https://monumenta.wikibase.cloud/entity/Q422,https://monumenta.wikibase.cloud/entity/statement/Q422-3D16A3C3-87F0-4302-B4FE-D446A815E7D4,2,César,Gallastegi,César Gallastegi,César Gallastegi,César Gallastegi,César Gallastegi
https://monumenta.wikibase.cloud/entity/Q301,https://monumenta.wikibase.cloud/entity/statement/Q301-6089CC68-BB68-4C14-9CBA-05D09EAC256F,1,Ignacio,Garmendia Berasategui,Ignacio Garmendia Berasategui,Ignacio Garmendia Berasategui,Ignacio Garmendia Berasategui,Ignacio Garmendia Berasategui
https://monumenta.wikibase.cloud/entity/Q371,https://monumenta.wikibase.cloud/entity/statement/Q371-7A8E65AD-8226-4437-A1D0-458C8DD27CCB,1,Ignacio,Garmendia Berasategui,Ignacio Garmendia Berasategui,Ignacio Garmendia Berasategui,Ignacio Garmendia Berasategui,Ignacio Garmendia Berasategui
https://monumenta.wikibase.cloud/entity/Q233,https://monumenta.wikibase.cloud/entity/statement/Q233-C7A04A3F-708D-460C-99EE-0F34660228B5,1,Martin de,Harriet,Martin de Harriet,Martin de Harriet,Martin de Harriet,Martin de Harriet
https://monumenta.wikibase.cloud/entity/Q415,https://monumenta.wikibase.cloud/entity/statement/Q415-425B0D7B-0132-40B6-94EB-CE40A5D9019F,1,Ulrich,Heid,Ulrich Heid,Ulrich Heid,Ulrich Heid,Ulrich Heid
https://monumenta.wikibase.cloud/entity/Q402,https://monumenta.wikibase.cloud/entity/statement/Q402-CF969B89-5E06-4652-AFB4-CFDAAEABAFAE,1,Ulrich,Heid,Ulrich Heid,Ulrich Heid,Ulrich Heid,Ulrich Heid
https://monumenta.wikibase.cloud/entity/Q403,https://monumenta.wikibase.cloud/entity/statement/Q403-F672D120-46E1-457F-89D6-4EE98A1A093B,1,Arantxa,Hirigoyen,Arantxa Hirigoyen,Arantxa Hirigoyen,Arantxa Hirigoyen,Arantxa Hirigoyen
https://monumenta.wikibase.cloud/entity/Q281,https://monumenta.wikibase.cloud/entity/statement/Q281-2EE0675F-6019-46BB-BA7B-AB410C4BBF39,1,Txomin,Iakakortexarena,Txomin Iakakortexarena,Txomin Iakakortexarena,Txomin Iakakortexarena,Txomin Iakakortexarena
https://monumenta.wikibase.cloud/entity/Q348,https://monumenta.wikibase.cloud/entity/statement/Q348-AC86CEB1-6082-439E-8C12-84232898B4B2,1,Txomin,Iakakortexarena,Txomin Iakakortexarena,Txomin Iakakortexarena,Txomin Iakakortexarena,Txomin Iakakortexarena
https://monumenta.wikibase.cloud/entity/Q369,https://monumenta.wikibase.cloud/entity/statement/Q369-73586D63-C7FF-4911-842C-BCC83631FE77,1,Txomin,Iakakortexarena,Txomin Iakakortexarena,Txomin Iakakortexarena,Txomin Iakakortexarena,Txomin Iakakortexarena
https://monumenta.wikibase.cloud/entity/Q356,https://monumenta.wikibase.cloud/entity/statement/Q356-90FAFB0C-4F8F-40AD-B659-6AE29F12240B,2,Miguel,Ibáñez Artica,Miguel Ibáñez Artica,Miguel Ibáñez Artica,Miguel Ibáñez Artica,Miguel Ibáñez Artica
https://monumenta.wikibase.cloud/entity/Q356,https://monumenta.wikibase.cloud/entity/statement/Q356-47CF9E34-6543-4ECB-9A29-6A078A4B58CB,3,José Juan,Iraola Múgica,José Juan Iraola Múgica,José Juan Iraola Múgica,José Juan Iraola Múgica,José Juan Iraola Múgica
https://monumenta.wikibase.cloud/entity/Q388,https://monumenta.wikibase.cloud/entity/statement/Q388-D32D19C8-032D-49DB-8574-CBFBA656B338,1,José María.,Iribarren,José María. Iribarren,José María. Iribarren,José María. Iribarren,José María. Iribarren
