item,itemLabel,claimid,P15_literal,P15_recon
https://monumenta.wikibase.cloud/entity/Q804,Euskaltzaindiaren Hiztegia: Adierak Eta Adibideak,https://monumenta.wikibase.cloud/entity/statement/Q804-3C7A804F-84EE-498B-8046-10DF84CCFAB4,Usurbil,Usurbil
https://monumenta.wikibase.cloud/entity/Q805,Ikaslearen Hiztegia,https://monumenta.wikibase.cloud/entity/statement/Q805-55187B4D-8D93-43A1-B0FE-1C455205B994,Usurbil,Usurbil
https://monumenta.wikibase.cloud/entity/Q805,Ikaslearen Hiztegia,https://monumenta.wikibase.cloud/entity/statement/Q805-55187B4D-8D93-43A1-B0FE-1C455205B994,Donostia,Donostia
https://monumenta.wikibase.cloud/entity/Q806,"Morfologia Konputazionala Euskaraz, 35 urte",https://monumenta.wikibase.cloud/entity/statement/Q806-EA647A75-A659-48DD-A4CA-EE8223705787,Bilbo,Bilbo
https://monumenta.wikibase.cloud/entity/Q1260,Towards ELTeC-LLOD: European Literary Text Collection Linguistic Linked Open Data,https://monumenta.wikibase.cloud/entity/statement/Q1260-161ACEC9-79E4-4BF2-8B70-D6B65A865685,"Vienna, Austria","Vienna, Austria"
https://monumenta.wikibase.cloud/entity/Q220,Anciens proverbes basques et gascons recueillis por Voltoire et reunis au jour par G. B.,https://monumenta.wikibase.cloud/entity/statement/Q220-55F68665-125B-4F78-B64B-E98DB7F83EA0,Paris,Paris
https://monumenta.wikibase.cloud/entity/Q221,"Tresora hirour lenguaietaqua francesa, espagnola eta hasquara",https://monumenta.wikibase.cloud/entity/statement/Q221-1ADB1C3A-4ADE-4433-A3BA-50A7AAA3EF05,Baiona,Baiona
https://monumenta.wikibase.cloud/entity/Q223,"Notitia utriusque Vasconiae, tum Ibericae, tum Aquitanicae",https://monumenta.wikibase.cloud/entity/statement/Q223-E824EFDF-B827-40D3-AE68-6E964B5358A4,Vitoria-Gasteiz,Vitoria-Gasteiz
https://monumenta.wikibase.cloud/entity/Q226,"Notitia utriusque Vasconiae, tum Ibericae, tum Aquitanicae",https://monumenta.wikibase.cloud/entity/statement/Q226-6FB9A48D-3CB6-4944-BC74-477939D107D9,Paris,Paris
https://monumenta.wikibase.cloud/entity/Q229,Opus de rebus Hispaniae memorabilibus,https://monumenta.wikibase.cloud/entity/statement/Q229-36454AF8-815A-461A-96FA-19AE732460FB,Alcalá de Henares,Alcalá de Henares
https://monumenta.wikibase.cloud/entity/Q230,Los vascos vistos en dos momentos de su historia,https://monumenta.wikibase.cloud/entity/statement/Q230-A9500960-B06D-468E-98B4-7EFAC986D3D2,Bilbao,Bilbao
https://monumenta.wikibase.cloud/entity/Q231,De la antigüedad y universalidad del vascuence en España,https://monumenta.wikibase.cloud/entity/statement/Q231-8371A1D3-88AA-4DE7-A637-4DFD01A600BD,San Sebastián,San Sebastián
https://monumenta.wikibase.cloud/entity/Q233,"Gramatica escuaraz eta francesez, composatua francez hitzcunça ikhaſi nahi dutenen faboretan",https://monumenta.wikibase.cloud/entity/statement/Q233-92BBE1B1-1ABE-4B09-8B2D-9098C3799B5E,Bayonan,Bayonan
https://monumenta.wikibase.cloud/entity/Q234,Modo breve de aprender la lengua vizcayna,https://monumenta.wikibase.cloud/entity/statement/Q234-83119022-5CEB-467C-906D-5F2A31FAED88,Bilbao,Bilbao
https://monumenta.wikibase.cloud/entity/Q235,"Landuchioren hiztegi iraulia, euskara-gaztelania",https://monumenta.wikibase.cloud/entity/statement/Q235-6D9396AC-87AE-455D-90FF-B62DADF7115F,Vitoria-Gasteiz,Vitoria-Gasteiz
https://monumenta.wikibase.cloud/entity/Q236,"De la Antiguedad y universalidad del Bascuenze en España: de Sus perfecciones y ventajas sobre otras muchas Lenguas, Demostracion previa al Arte, que se dará á luz desta Lengua",https://monumenta.wikibase.cloud/entity/statement/Q236-49A8BAC7-21E0-4670-B55A-566B35562246,Salamanca,Salamanca
https://monumenta.wikibase.cloud/entity/Q239,Glossaria duo Vasco-Islandica,https://monumenta.wikibase.cloud/entity/statement/Q239-23344D37-21B4-4B61-A90D-F27D786AD5BA,Amsterdam,Amsterdam
https://monumenta.wikibase.cloud/entity/Q240,"Grammaire Cantabrique Basque, faite par Pierre d' Urte 1712: Manuscrit de la Bibliothèque du comte de Macclesfield",https://monumenta.wikibase.cloud/entity/statement/Q240-6A69F0A6-D2D6-4B6A-B9D6-7315853C2A95,Bagnères-de-Bigorre,Bagnères-de-Bigorre
https://monumenta.wikibase.cloud/entity/Q244,"L'interprect ou Traduction du français, espagnol & basque",https://monumenta.wikibase.cloud/entity/statement/Q244-7B9670C1-81CA-4161-BAF1-7014F6E8729F,Leioa,Leioa
https://monumenta.wikibase.cloud/entity/Q245,Anciens proverbes basques et gascons recueillis por Voltoire et reunis au jour par G. B.,https://monumenta.wikibase.cloud/entity/statement/Q245-7DC988C3-39B0-4BA5-B1AC-63560507F09C,Bayonne,Bayonne
https://monumenta.wikibase.cloud/entity/Q246,"L'interprect ou Traduction du français, espagnol & basque",https://monumenta.wikibase.cloud/entity/statement/Q246-A282656A-2849-4D96-BAF5-7B6B57DDDF3B,Lyon,Lyon
https://monumenta.wikibase.cloud/entity/Q247,Pierre d'Urteren Hiztegia: Londres 1715,https://monumenta.wikibase.cloud/entity/statement/Q247-1BB1721C-4D75-400C-9550-987FDDC0684A,Donostia,Donostia
https://monumenta.wikibase.cloud/entity/Q251,"Origen de la nación bascongada y de su lengua. De la antigüedad, y universalidad del bascuenze en España: de que han dimanado las monarquias Española, y Francia, y la Republica de Venecia, que existen al presente: de sus perfecciones y ventajas sobre otras muchas lenguas: demonstración previa al arte, que se dara a luz desta lengua",https://monumenta.wikibase.cloud/entity/statement/Q251-489CD9AC-E5D0-4622-A5CF-B3910C7FFABD,San Sebastián,San Sebastián
https://monumenta.wikibase.cloud/entity/Q252,Dictionarium Linguae Cantabricae,https://monumenta.wikibase.cloud/entity/statement/Q252-D03D9499-0089-485A-86D5-25742E6A9AF0,Donostia,Donostia
https://monumenta.wikibase.cloud/entity/Q253,Dictionarium Linguae Cantabricae,https://monumenta.wikibase.cloud/entity/statement/Q253-81944EF3-20AF-4782-BF0C-54C91669207F,San Sebastián,San Sebastián
https://monumenta.wikibase.cloud/entity/Q254,Dictionarium Linguae Cantabricae,https://monumenta.wikibase.cloud/entity/statement/Q254-A908CAFB-5D51-412B-B80B-9814ACC30280,Vitoria-Gasteiz,Vitoria-Gasteiz
https://monumenta.wikibase.cloud/entity/Q260,"Voces bascongadas: Voces bascongadas diferenciales de Bizcaya, Guipuzcoa y navarra con la distinción que las usa cada nación, anotadas con sus letras iniciales",https://monumenta.wikibase.cloud/entity/statement/Q260-2CFAE668-DC96-4744-8EF8-595BAAE9AE94,Bilbao,Bilbao
https://monumenta.wikibase.cloud/entity/Q261,Vocabulario de vascuence,https://monumenta.wikibase.cloud/entity/statement/Q261-7E4D3ED0-EEBB-4374-9C52-D30DC7231FE3,Zaldibia,Zaldibia
https://monumenta.wikibase.cloud/entity/Q262,Vocabulaire basque,https://monumenta.wikibase.cloud/entity/statement/Q262-5F4CE806-B821-45AE-8470-8D0D31393751,Toulouse,Toulouse
https://monumenta.wikibase.cloud/entity/Q262,Vocabulaire basque,https://monumenta.wikibase.cloud/entity/statement/Q262-5F4CE806-B821-45AE-8470-8D0D31393751,Bayonne,Bayonne
