item,itemLabel,P15_literal,P15_recon
https://monumenta.wikibase.cloud/entity/Q341,Le basque de la Basse-Soule orientale,Paris,Paris
https://monumenta.wikibase.cloud/entity/Q354,Dictionnaire français-basque = Hitzthegi eskuara-frantses: Grammaire,Paris,Paris
https://monumenta.wikibase.cloud/entity/Q359,Dictionnaire français-basque: suffixes et conjugaison,Paris,Paris
https://monumenta.wikibase.cloud/entity/Q231,De la antigüedad y universalidad del vascuence en España,San Sebastián,San Sebastián
https://monumenta.wikibase.cloud/entity/Q251,"Origen de la nación bascongada y de su lengua. De la antigüedad, y universalidad del bascuenze en España: de que han dimanado las monarquias Española, y Francia, y la Republica de Venecia, que existen al presente: de sus perfecciones y ventajas sobre otras muchas lenguas: demonstración previa al arte, que se dara a luz desta lengua",San Sebastián,San Sebastián
https://monumenta.wikibase.cloud/entity/Q253,Dictionarium Linguae Cantabricae,San Sebastián,San Sebastián
https://monumenta.wikibase.cloud/entity/Q288,El diccionario etimológico vasco,San Sebastián,San Sebastián
https://monumenta.wikibase.cloud/entity/Q297,"Diccionario trilingue del castellano, bascuence, y latín",San Sebastián,San Sebastián
https://monumenta.wikibase.cloud/entity/Q298,"Diccionario trilingüe castellano, bascuence y latin dedicado a la M.N. y M.L. provincia de Guipuzcoa",San Sebastián,San Sebastián
https://monumenta.wikibase.cloud/entity/Q299,Diccionario vasco-español,San Sebastián,San Sebastián
https://monumenta.wikibase.cloud/entity/Q311,Diccionario Auñamendi español-vasco = Auñamendi erdal-euskal iztegia,San Sebastián,San Sebastián
https://monumenta.wikibase.cloud/entity/Q317,Auñamendi erdal-euskal iztegia / Auñamendi diccionario español-vasco,San Sebastián,San Sebastián
https://monumenta.wikibase.cloud/entity/Q340,"Manual de conversación castellana-euzkera con extensos vocabularios de nombres, verbos y modismos, diálogos, cartas, refranes, anuncios y un compendio de gramática = Erdel-euskel-alkarrizketako idaztitxoa ; izen, aditz eta esakeren iztegiak, esaera zarrak, iragarkiak, eta euskel-iztitxoa",San Sebastián,San Sebastián
https://monumenta.wikibase.cloud/entity/Q342,"La lengua vasca: Gramática, conversación, diccionario vasco-castellano, castellano-vasco",San Sebastián,San Sebastián
https://monumenta.wikibase.cloud/entity/Q352,"Ensayo metódico de un catálogo de los peces, crustáceos, moluscos y radiados más comunes de la costa Cantábrica",San Sebastián,San Sebastián
https://monumenta.wikibase.cloud/entity/Q356,"Fauna marina de la costa vasca: ensayo metódico de un catálogo de los peces, crustáceos, moluscos y radiados más comunes de la Costa Cantábrica = Euskalerriko itsas abereak: kantauri itsas-ertzeko arrain, oskuldun, soinberata arrerdidun ezagunen errolda egiteko saiakera: revisión y actualización de la obra de D. Vicente Laffitte",San Sebastián,San Sebastián
https://monumenta.wikibase.cloud/entity/Q362,"Diccionario vasco-español. Cuarta edición, mejorada y aumentada",San Sebastián,San Sebastián
https://monumenta.wikibase.cloud/entity/Q385,Apellidos vascos,San Sebastián,San Sebastián
https://monumenta.wikibase.cloud/entity/Q386,Apellidos vascos,San Sebastián,San Sebastián
https://monumenta.wikibase.cloud/entity/Q223,"Notitia utriusque Vasconiae, tum Ibericae, tum Aquitanicae",Vitoria-Gasteiz,Vitoria-Gasteiz
https://monumenta.wikibase.cloud/entity/Q235,"Landuchioren hiztegi iraulia, euskara-gaztelania",Vitoria-Gasteiz,Vitoria-Gasteiz
https://monumenta.wikibase.cloud/entity/Q254,Dictionarium Linguae Cantabricae,Vitoria-Gasteiz,Vitoria-Gasteiz
https://monumenta.wikibase.cloud/entity/Q424,"Euskal Hiztegia-ren azterketa eta egituratzea ezagutza lexikalaren eskuratze automatikoari begira. Aditz-adibideen analisia Murriztapen-Gramatika baliatuz, azpikategorizazioaren bidean",Vitoria-Gasteiz,Vitoria-Gasteiz
https://monumenta.wikibase.cloud/entity/Q442,Aizpitarteren hiztegi argitaragabea Loiolan,Vitoria-Gasteiz,Vitoria-Gasteiz
https://monumenta.wikibase.cloud/entity/Q800,Herri-ogasuna hiztegia,Vitoria-Gasteiz,Vitoria-Gasteiz
https://monumenta.wikibase.cloud/entity/Q801,Errugbia hiztegia,Vitoria-Gasteiz,Vitoria-Gasteiz
